Date,"Patricia Pepper","Adrián Babič","Germán Chaves","Tijl De Decker","Kelly Catlin","Lieuwe Westra","Vicente López Carril","Chris Anker Sørensen","Ethan Boyes","Arturo Grávalos"
2015-10-23,0,0,0,0,0,4,1,12,0,0
2015-10-24,0,0,0,0,0,2,0,4,0,0
2015-10-25,0,0,0,0,0,3,0,7,0,0
2015-10-26,0,0,0,0,0,3,1,10,0,0
2015-10-27,0,0,0,0,0,3,2,13,0,0
2015-10-28,0,0,0,0,0,2,2,7,0,0
2015-10-29,0,0,0,0,0,4,2,4,0,0
2015-10-30,0,0,0,0,0,4,4,16,0,0
2015-10-31,0,0,0,0,0,2,3,1,0,0
2015-11-01,0,0,0,0,0,4,1,6,0,0
2015-11-02,0,0,0,0,0,7,0,11,0,0
2015-11-03,0,0,0,0,0,0,0,11,0,0
2015-11-04,0,0,0,0,0,3,4,10,0,0
2015-11-05,0,0,0,0,0,2,0,10,0,0
2015-11-06,0,0,0,0,0,5,1,9,0,0
2015-11-07,0,0,0,0,0,4,1,12,0,0
2015-11-08,0,0,0,0,0,3,2,5,0,0
2015-11-09,0,0,0,0,0,7,0,5,0,0
2015-11-10,0,0,0,0,0,6,2,8,0,0
2015-11-11,0,0,0,0,0,2,0,12,0,0
2015-11-12,0,0,0,0,0,2,4,8,0,0
2015-11-13,0,0,0,0,0,3,1,7,0,0
2015-11-14,0,0,0,0,0,3,2,6,0,0
2015-11-15,0,0,0,0,0,8,2,9,0,0
2015-11-16,0,0,0,0,0,0,1,7,0,0
2015-11-17,0,0,0,0,0,4,0,2,0,0
2015-11-18,0,0,0,0,0,5,0,7,0,0
2015-11-19,0,0,0,0,0,1,3,8,0,0
2015-11-20,0,0,0,0,0,9,0,11,0,0
2015-11-21,0,0,0,0,0,4,1,6,0,0
2015-11-22,0,0,0,0,0,5,1,9,0,0
2015-11-23,0,0,0,0,0,2,1,2,0,0
2015-11-24,0,0,0,0,0,4,1,7,0,0
2015-11-25,0,0,0,0,0,3,0,7,0,0
2015-11-26,0,0,0,0,0,4,0,8,0,0
2015-11-27,0,0,0,0,0,4,0,12,0,0
2015-11-28,0,0,0,0,0,2,0,6,0,0
2015-11-29,0,0,0,0,0,7,1,6,0,0
2015-11-30,0,0,0,0,0,4,1,6,0,0
2015-12-01,0,0,0,0,0,3,1,10,0,0
2015-12-02,0,0,0,0,0,6,0,8,0,0
2015-12-03,0,0,0,0,0,5,0,1,0,0
2015-12-04,0,0,0,0,0,2,3,2,0,0
2015-12-05,0,0,0,0,0,5,1,2,0,0
2015-12-06,0,0,0,0,0,1,1,7,0,0
2015-12-07,0,0,0,0,0,2,2,1,0,0
2015-12-08,0,0,0,0,0,0,4,5,0,0
2015-12-09,0,0,0,0,0,7,1,6,0,0
2015-12-10,0,0,0,0,0,4,2,6,0,0
2015-12-11,0,0,0,0,0,2,0,4,0,0
2015-12-12,0,0,0,0,0,2,2,11,0,0
2015-12-13,0,0,0,0,0,5,2,8,0,0
2015-12-14,0,0,0,0,0,6,3,9,0,0
2015-12-15,0,0,0,0,0,4,4,8,0,0
2015-12-16,0,0,0,0,0,2,2,8,0,0
2015-12-17,0,0,0,0,0,6,1,5,0,0
2015-12-18,0,0,0,0,0,1,2,6,0,0
2015-12-19,0,0,0,0,0,1,6,8,0,0
2015-12-20,0,0,0,0,0,8,2,5,0,0
2015-12-21,0,0,0,0,0,2,1,6,0,0
2015-12-22,0,0,0,0,0,1,2,8,0,0
2015-12-23,0,0,0,0,0,6,6,15,0,0
2015-12-24,0,0,0,0,0,9,0,7,0,0
2015-12-25,0,0,0,0,0,2,4,9,0,0
2015-12-26,0,0,0,0,0,1,1,6,0,0
2015-12-27,0,0,0,0,0,4,0,8,0,0
2015-12-28,0,0,0,0,0,9,2,8,0,0
2015-12-29,0,0,0,0,0,3,0,4,0,0
2015-12-30,0,0,0,0,0,5,0,8,0,0
2015-12-31,0,0,0,0,0,2,1,6,0,0
2016-01-01,0,0,0,0,0,3,1,2,0,0
2016-01-02,0,0,0,0,0,5,1,5,0,0
2016-01-03,0,0,0,0,0,10,2,4,0,0
2016-01-04,0,0,0,0,0,4,1,18,0,0
2016-01-05,0,0,0,0,0,8,3,5,0,0
2016-01-06,0,0,0,0,0,4,1,11,0,0
2016-01-07,0,0,0,0,0,5,1,4,0,0
2016-01-08,0,0,0,0,0,8,2,4,0,0
2016-01-09,0,0,0,0,0,7,1,12,0,0
2016-01-10,0,0,0,0,0,7,1,7,0,0
2016-01-11,0,0,0,0,0,4,0,8,0,0
2016-01-12,0,0,0,0,0,3,0,8,0,0
2016-01-13,0,0,0,0,0,2,2,8,0,0
2016-01-14,0,0,0,0,0,5,1,39,0,0
2016-01-15,0,0,0,0,0,5,0,10,0,0
2016-01-16,0,0,0,0,0,4,2,11,0,0
2016-01-17,0,0,0,0,0,9,3,13,0,0
2016-01-18,0,0,0,0,0,13,1,8,0,0
2016-01-19,0,0,0,0,0,8,0,9,0,0
2016-01-20,0,0,0,0,0,14,3,20,0,0
2016-01-21,0,0,0,0,0,8,1,9,0,0
2016-01-22,0,0,0,0,0,8,3,26,0,0
2016-01-23,0,0,0,0,0,4,3,10,0,0
2016-01-24,0,0,0,0,0,15,0,24,0,0
2016-01-25,0,0,0,0,0,9,1,15,0,0
2016-01-26,0,0,0,0,0,7,0,6,0,0
2016-01-27,0,0,0,0,0,6,2,10,0,0
2016-01-28,0,0,0,0,0,11,0,9,0,0
2016-01-29,0,0,0,0,0,4,1,10,0,0
2016-01-30,0,0,0,0,0,7,4,9,0,0
2016-01-31,0,0,0,0,0,4,0,5,0,0
2016-02-01,0,0,0,0,0,3,0,10,0,0
2016-02-02,0,0,0,0,0,8,1,6,0,0
2016-02-03,0,0,0,0,0,2,7,9,0,0
2016-02-04,0,0,0,0,0,2,0,2,0,0
2016-02-05,0,0,0,0,0,14,0,8,0,0
2016-02-06,0,0,0,0,0,7,1,1,0,0
2016-02-07,0,0,0,0,0,10,1,9,0,0
2016-02-08,0,0,0,0,0,5,1,11,0,0
2016-02-09,0,0,0,0,0,9,1,9,0,0
2016-02-10,0,0,0,0,0,19,1,9,0,0
2016-02-11,0,0,0,0,0,12,2,6,0,0
2016-02-12,0,0,0,0,0,20,1,12,0,0
2016-02-13,0,0,0,0,0,10,0,24,0,0
2016-02-14,0,0,0,0,0,5,0,7,0,0
2016-02-15,0,0,0,0,0,5,0,6,0,0
2016-02-16,0,0,0,0,0,8,0,10,0,0
