"DateTime","Joaquim Agostinho[en]","Connie Meijer[en]","Fabio Casartelli[en]","Manuel Sanroma[en]","Saúl Morales[en]","Nicole Reinhart[en]","Andrey Kivilev[en]","Alessio Galletti[en]","Isaac Gálvez[en]","Bruno Neves[en]","Wouter Weylandt[en]","Junior Heffernan[en]","Annefleur Kalvenhaar[en]","Antoine Demoitié[en]","Daan Myngheer[en]","Gijs Verdick[en]","Bahman Golbarnezhad[en]","Mike Hall (cyclist)[en]","Michael Goolaerts[en]","Robbert de Greef[en]","Bjorg Lambrecht[en]","Suleiman Kangangi[en]","Gino Mäder[en]","Antonio Martín[en]","Néstor Mora[en]","Hernán Patiño[en]","Ricardo Otxoa[en]","Lauri Aus[en]","Amy Gillett[en]","Frederiek Nolf[en]","Zinaida Stahurskaya[en]","Jure Robič[en]","Carla Swart[en]","Carly Hibberd[en]","Víctor Cabedo[en]","Iñaki Lejarreta[en]","Burry Stander[en]","Amy Dombroski[en]","Kristof Goddaert[en]","Kelly McGarry[en]","Michele Scarponi[en]","Jason Lowndes[en]","Desiet Kidane[en]"
"2008-01-27 00:00:00",0,0,56,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-01-28 00:00:00",15,0,48,5,6,31,0,1,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,10,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"2008-01-29 00:00:00",0,0,32,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"2008-01-30 00:00:00",12,0,46,2,2,37,1,0,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,13,18,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"2008-01-31 00:00:00",0,0,47,0,0,0,0,0,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"2008-02-01 00:00:00",13,0,34,5,5,37,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,11,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-02-02 00:00:00",0,0,39,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-02-03 00:00:00",17,0,47,0,2,29,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,12,25,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-02-04 00:00:00",0,0,42,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-02-05 00:00:00",18,0,148,9,6,29,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,15,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"2008-02-06 00:00:00",0,0,100,0,0,0,0,0,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-02-07 00:00:00",17,0,42,3,3,20,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-02-08 00:00:00",0,0,45,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-02-09 00:00:00",16,0,76,6,8,33,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2008-02-10 00:00:00",0,0,44,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-02-11 00:00:00",19,0,107,7,7,24,0,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,13,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"2008-02-12 00:00:00",0,0,63,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-02-13 00:00:00",18,0,73,6,8,18,0,0,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"2008-02-14 00:00:00",0,0,43,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-02-15 00:00:00",16,0,37,4,4,49,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"2008-02-16 00:00:00",0,0,40,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-02-17 00:00:00",18,0,50,4,5,33,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,15,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"2008-02-18 00:00:00",0,0,46,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"2008-02-19 00:00:00",13,0,58,6,6,27,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,6,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"2008-02-20 00:00:00",0,0,70,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-02-21 00:00:00",13,0,62,3,6,39,1,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,7,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-02-22 00:00:00",0,0,47,0,0,0,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
